ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150220,1.088812,2.24735,-1.31677,-1.139819,0,1.281347,0,0,0,0,-0.719399,,,
59150221,1.012705,-0.711993,-0.430323,-0.52339,-0.023186,0.6879,-0.655457,-0.772359,-0.680584,0,-0.660279,-0.25295,-1.02214,-1.02054
59150222,-1.483515,0.151479,-0.404251,-0.662086,-0.022937,0.331221,-0.567017,-0.114946,-0.042213,0,0,,,
59150223,1.352408,0,-0.682352,-0.384693,-0.023086,0.089033,-0.640848,-0.342052,0,0,0,,,
59150224,-1.483506,-1.297416,-0.499848,-0.95489,-0.02234,-0.791654,-0.686966,-0.508679,-0.897924,0,-1.250484,-0.9948,-0.8697,-1.10277
59150225,-1.483509,0,-0.604136,-0.631265,-0.02224,-1.04675,-0.661388,-1.012726,0.153555,0,0,,,
59150226,-1.483521,0,-0.595445,0.401254,-0.026171,-0.332166,-0.627778,-0.49928,0,0,-0.230885,,,
59150227,-1.483512,0,-1.047359,-0.95489,-0.022539,-0.758629,0,-0.561048,0,0,-1.116003,,,
59150228,-1.483512,-1.231724,-1.099503,-0.692908,-0.021942,-0.74881,-0.734304,-0.739488,-1.195569,0,-0.365224,-1.05027,-1.18121,-0.91067
59150229,-1.483512,0,0,-0.585033,-0.026121,-0.837603,0,-0.427217,0,0,0,,,
59150230,-1.483506,-1.393915,-1.021287,-0.769962,-0.021992,-0.846318,-0.652633,-0.20679,0,0,0,,,
59150231,0,0.321221,0,0,-0.022688,0,0,-0.561048,0,0,-0.137715,,,
59150232,-1.483512,-0.835979,-1.255935,-0.585033,-0.02224,-0.430788,-0.699574,-0.239854,0,0,-0.785942,,,
59150233,0.977829,-0.488391,0,-0.569622,0,0.834229,-0.661806,0.134871,0.203614,0,0,,,
59150234,-1.483512,-1.207936,-0.908309,-0.73914,-0.022937,0.238072,-0.603012,0.365472,0,0,0,,,
59150235,0.891379,-0.796688,-0.708424,0.062218,-0.023683,0.523984,-0.563699,0.509597,-0.515546,0,0,,,
59150236,0.179519,-1.019743,0.490887,1.526237,-0.022041,0.986904,-0.612093,0.955699,0,0,0,,,
59150237,1.040145,0.951693,-0.369488,-0.769962,-0.022589,1.837518,-0.698359,0.509597,0.284066,0,0,,,
59150238,-1.483512,0,-1.169029,-1.047355,-0.022191,-0.34847,0,-0.561048,0,0,0,,,
